33"	""Ben Treats""	"September 27, 1997"	"405"	"Ben wins $500 on a scratch-off lottery ticket and treats Dr. Katz and Laura to dinner."	"Dr. Katz sees Julia Louis-Dreyfus and Jim Gaffigan."
34"	""Memoirs""	"October 3, 1997"	"401"	"Ben wants to be an author and begins to write his memoirs."	"Dr. Katz sees Louis C.K., Ron Lynch, and Fred Stoller."
35"	""Electric Bike""	"October 10, 1997"	"402"	"Dr. Katz orders an electric bike."	"Dr. Katz sees Ray Romano and Dave Chappelle."
36"	""Broadcaster Ben""	"October 17, 1997"	"403"	"Ben auditions to become a broadcaster."	"Dr. Katz sees Bill Braudis and Dom Irrera."
37"	""Trash Day""	"October 24, 1997"	"404"	"Dr. Katz takes a chair that was being thrown out."	"Dr. Katz sees Dave Attell, Fred Stoller, and Lew Schneider."
38"	""Sharon Meyers""	"October 31, 1997"	"406"	"Dr. Katz meets with a former patient and love interest, Sharon Meyers."	"Dr. Katz sees Al Franken, Bobby Slayton and Todd Barry."
39"	""Mask""	"November 7, 1997"	"407"	"Dr. Katz takes a class to learn about making masks."	"Dr. Katz sees Steven Wright and Mark Schiff."
40"	""Closets""	"March 17, 1998"	"408"	"Dr. Katz asks Ben to help him reorganize his bedroom closet."	"Dr. Katz sees Elayne Boosler and Michael Rowe."
41"	""Wild Weekend""	"March 24, 1998"	"409"	"Ben wants to go camping and hiking."	"Dr. Katz sees Don Gavin and Robert Schimmel."
42"	""Chopper""	"March 31, 1998"	"410"	"Ben is a runner-up in a contest to ride in a traffic helicopter and hopes something happens to the winner."	"Dr. Katz sees Dom Irrera and Conan O'Brien."
43"	""Alibi""	"April 30, 1998"	"411"	"Ben thinks Dr. Katz is the suspect when a bald man in his late 40s damages a mailbox."	"Dr. Katz sees Jeff Garlin and Tony V."
44"	""Ben-Centennial""	"May 7, 1998"	"412"	"Ben turns 25. Laura rescues a bird."	"Dr. Katz sees Sam Brown and The Smothers Brothers."
45"	""Undercover""	"September 14, 1997"	"413"	"Ben tries to figure out why Laura is calling out from work."	"Dr. Katz sees Mark Pitta, Richard Lewis and Ron Lynch."
46"	""Old Man""	"June 15, 1998"	"503"	"Ben thinks it is time for Dr. Katz to retire."	"Dr. Katz sees Robert Klein, Gilbert Gottfried and Jim Gaffigan"
47"	""Fanny Pack""	"June 22, 1998"	"501"	"Dr. Katz begins wearing a fanny pack."	"Dr. Katz sees Denis Leary and James Leemer"
48"	""Metaphors""	"June 29, 1998"	"505"	"Dr. Katz and Ben start drinking more coffee than usual."	"Dr. Katz sees Brian Regan and David Duchovny"
49"	""Movies""	"July 6, 1998"	"502"	"Dr. Katz and Ben are addicted to movies."	"Dr. Katz sees Sam Brown and Patton Oswalt"
50"	""Ticket""	"July 13, 1998"	"512"	"Dr. Katz is given a ticket for failing to stop at a stop sign. Laura dates a dentist."	"Dr. Katz sees Ben Stiller and Jann Karam"
51"	""Phone Luv""	"July 20, 1998"	"504"	"Ben becomes interested in a telemarketing woman named Cindy."	"Dr. Katz sees Mitch Fatel and John Pinette"
52"	""Chain Letter""	"July 27, 1998"	"506"	"Ben receives a chain letter. Dr. Katz sets up a retirement fund for Laura."	"Dr. Katz sees Gilbert Gottfried and Wendy Liebman"
53"	""Babysitting Ben""	"August 3, 1998"	"507"	"Ben babysits the neighbor's four-year-old son. Laura tells Dr. Katz that the office received a death threat."	"Dr. Katz sees Brian Regan and Paul Kozlowski"
54"	""Miles Away""	"August 10, 1998"	"508"	"Ben visits his cousin Sarah."	"Dr. Katz sees Mitch Fatel and Patton Oswalt"
55"	""London Broil""	"August 17, 1998"	"509"	"Dr. Katz and Ben play games where they have to decipher clues."	"Dr. Katz sees Kevin Kataoka and Brian Kiley"
56"	""Feng Shui""	"August 24, 1998"	"510"	"Ben is interested in Feng Shui."	"Dr. Katz sees Tom Kenny and Harry Shearer"
57"	""Alderman""	"September 21, 1998"	"511"	"Dr. Katz finds out the alderman he voted for is corrupt."	"Dr. Katz sees Louis C.K. and Sarah Silverman"
58"	""Paranoia""	"September 28, 1998"	"513"	"Dr. Katz and Ben think someone is trying to break into their apartment."	"Dr. Katz sees Lew Schneider and David Cross"
59"	""Waltz""	"October 5, 1998"	"514"	"Dr. Katz learns how to waltz."	"Dr. Katz sees Ron Lynch and Susie Essman"
60"	""Anniversary""	"October 12, 1998"	"515"	"Dr. Katz's anniversary approaches."	"Dr. Katz sees Dom Irrera and Bonnie McFarlane"
61"	""Community Theater""	"October 19, 1998"	"516"	"Dr. Katz auditions for a play at the community theater."	"Dr. Katz sees Tom Kenny and Ron Lynch"
62"	""Ping-Pong""	"October 26, 1998"	"517"	"Dr. Katz is challenged to a game of ping-pong by an old adversary."	"Dr. Katz sees Kathy Griffin and Laura Kightlinger"
63"	""Thanksgiving""	"November 23, 1998"	"518"	"Dr. Katz's ex-wife Roz (Carrie Fisher) visits for Thanksgiving dinner."	"Dr. Katz sees Dom Irrera."
64"	""Sissy Boy""	"June 15, 1999"	"601"	"Ben is called a sissy by a former bully."	"Dr. Katz sees Ted Alexandro and Jeff Goldblum"
65"	""Pullman Square""	"June 22, 1999"	"602"	"Ben stages a protest to save Pullman Square."	"Dr. Katz sees Ed Crasnick and Teri Garr"
66"	""Wisdom Teeth""	"June 29, 1999"	"603"	"Ben gets his wisdom teeth removed."	"Dr. Katz sees Paul F. Tompkins and Margaret Cho"
67"	""Past Lives""	"July 6, 1999"	"604"	"Dr. Katz and Ben believe they were famous people in previous lives."	"Dr. Katz sees Dom Irrera and Mitch Hedberg"
68"	""Ben's Partay""	"July 13, 1999"	"605"	"Ben throws a party at the apartment."	"Dr. Katz sees Al Lubel and Tom Hertz"
69"	""Walk for Hunger""	"July 20, 1999"	"615"	"Laura asks Dr. Katz to sponsor her for a walk."	"Dr. Katz sees Wanda Sykes and Jon Stewart"
70"	""Used Car""	"December 24, 1999"	"606"	"Dr. Katz and Ben help Laura when she goes to buy a used car."	"Dr. Katz sees Greg Behrendt and Ian Bagg"
71"	""Ball and Chain""	"December 24, 1999"	"607"	"Dr. Katz begins dating an author and Ben gets nervous about it."	"Dr. Katz sees Carol Leifer and Kevin Meaney"
72"	""Snow Day""	"December 24, 1999"	"608"	"The city prepares for a blizzard."	"Dr. Katz sees Merrill Markoe and Dana Gould"
73"	""Garden""	"December 24, 1999"	"609"	"Dr. Katz is interested in gardening."	"Dr. Katz sees Mitch Hedberg and Matt Siegel"
74"	""Big TV""	"December 24, 1999"	"610"	"Ben panics when the TV breaks and buys a big-screen TV without Dr. Katz's permission."	"Dr. Katz sees Dom Irrera and Al Lubel"
75"	""Vow of Silence""	"December 24, 1999"	"611"	"Dr. Katz makes a bet with Ben to see who can go longer without reading the newspaper (Katz) or talking (Ben)."	"Dr. Katz sees Paul F. Tompkins and Sam Brown"
76"	""You're Belinda""	"December 24, 1999"	"612"	"Dr. Katz wants to attend a "brief therapy" seminar in Yorba Linda, California."	"Dr. Katz sees Wanda Sykes and Rich Gustus"
77"	""Radio Katz""	"December 24, 1999"	"614"	"Dr. Katz is a guest host on a radio talk show."	"Dr. Katz sees Dom Irrera and Julie Barr"
78"	""Expert Witness""	"December 24, 1999"	"613"	"Dr. Katz is asked to analyze a teenager and testify in court."	"Dr. Katz sees Jake Johannsen and Bob Balaban"
79"	""Bakery Ben""	"February 13, 2002"	"616"	"Ben becomes an assistant at a local bakery."	"Dr. Katz sees Catherine O'Hara and Dave Attell"
80"	""Uncle Nothing""	"February 13, 2002"	"617"	"Laura gets engaged to a musician. Ben visits Dr. Katz's bar and meets Julie."	"Dr. Katz sees Louis C.K. and Kevin Brennan"
81"	""Lerapy""	"February 13, 2002"	"618"	"Dr. Katz tells Conan O'Brien a joke that Conan uses on his talk show without credit."	"Dr. Katz sees Whoopi Goldberg and Conan O'Brien."	"
